stem,n_gt,a_n_det,a_recall,a_precision,a_mean_iou,a_tp,a_fp,a_fn,b_n_det,b_recall,b_precision,b_mean_iou,b_tp,b_fp,b_fn,h_n_det,h_recall,h_precision,h_mean_iou,h_tp,h_fp,h_fn,attr_a_only,attr_b_only,attr_both,attr_neither,divergence
000000359760,2,3,1.0000,0.6667,0.9469,2,1,0,2,1.0000,1.0000,0.9616,2,0,0,3,1.0000,0.6667,0.9469,2,1,0,0,0,2,0,0
000000191874,6,8,0.8333,0.6250,0.9201,5,3,1,6,1.0000,1.0000,0.9140,6,0,0,9,1.0000,0.6667,0.8952,6,3,0,0,1,5,0,1
000000031043,3,2,0.6667,1.0000,0.9071,2,0,1,3,1.0000,1.0000,0.9309,3,0,0,3,1.0000,1.0000,0.8881,3,0,0,0,1,2,0,1
000000112703,6,7,0.8333,0.7143,0.8989,5,2,1,5,0.8333,1.0000,0.9141,5,0,1,7,0.8333,0.7143,0.8989,5,2,1,0,0,5,1,0
000000057481,4,7,1.0000,0.5714,0.9376,4,3,0,4,1.0000,1.0000,0.9669,4,0,0,7,1.0000,0.5714,0.9376,4,3,0,0,0,4,0,0
000000344325,3,5,1.0000,0.6000,0.9127,3,2,0,3,1.0000,1.0000,0.9353,3,0,0,5,1.0000,0.6000,0.9127,3,2,0,0,0,3,0,0
000000541280,2,4,1.0000,0.5000,0.9247,2,2,0,2,1.0000,1.0000,0.9618,2,0,0,4,1.0000,0.5000,0.9247,2,2,0,0,0,2,0,0
000000088102,3,6,1.0000,0.5000,0.8581,3,3,0,3,1.0000,1.0000,0.9219,3,0,0,5,1.0000,0.6000,0.8581,3,2,0,0,0,3,0,0
000000288776,4,4,1.0000,1.0000,0.9234,4,0,0,4,1.0000,1.0000,0.9502,4,0,0,4,1.0000,1.0000,0.9234,4,0,0,0,0,4,0,0
000000242897,4,4,1.0000,1.0000,0.9059,4,0,0,4,1.0000,1.0000,0.9463,4,0,0,4,1.0000,1.0000,0.9059,4,0,0,0,0,4,0,0
