stem,marker_id,rot,raw_mean_err,raw_max_err,raw_tl_err_px,raw_phi,cls_mean_err,cls_max_err,cls_tl_err_px,cls_phi,cnn_mean_err,cnn_max_err,cnn_tl_err_px,cnn_phi,delta_mean_err,delta_phi
000000414112,214,2,16.9584,26.3778,26.3593,0.1997,16.9584,26.3778,26.3593,0.1997,10.0813,19.5751,19.5508,0.4123,-6.8771,0.2125
000000414112,235,3,34.3165,41.8179,41.3864,0.0189,34.2995,41.8179,41.3864,0.0189,22.9059,24.1092,23.4870,0.2784,-11.3937,0.2595
000000440060,150,3,18.2203,21.2535,15.9631,0.5539,18.8158,21.2535,18.4864,0.4528,12.2829,13.3580,13.3580,0.6612,-6.5329,0.2084
000000440060,4,2,28.4925,43.8900,43.8900,0.0115,29.5928,45.0460,45.0460,0.0091,16.3864,33.1512,33.1512,0.0783,-13.2064,0.0692
000000440060,241,3,29.4400,31.8904,26.1973,0.2037,29.7067,32.9576,26.1973,0.2037,20.9520,23.3182,21.9050,0.3288,-8.7548,0.1251
000000480433,197,3,200.8230,249.6605,168.4371,0.0000,201.2626,249.6605,168.4371,0.0000,138.8484,150.0531,150.0531,0.0000,-62.4141,0.0000
000000480433,112,1,17.0561,18.9879,18.9879,0.4335,15.6335,18.9879,18.9879,0.4335,11.8031,12.7566,12.3660,0.7015,-3.8304,0.2680
000000480433,159,1,20.4824,22.5199,21.3661,0.3470,17.0261,21.3661,21.3661,0.3470,15.0625,15.9143,14.6735,0.6071,-1.9636,0.2600
000000480433,51,2,26.8278,32.3236,32.3236,0.0887,27.2278,32.3236,32.3236,0.0887,17.4959,25.8644,25.8644,0.2121,-9.7318,0.1233
000000480433,104,0,23.3283,31.2938,15.0592,0.5911,23.4271,31.2938,15.4542,0.5748,11.1936,21.8353,0.4217,0.9996,-12.2334,0.4248
000000480433,136,2,33.4350,52.2289,52.2289,0.0018,34.5434,52.2289,52.2289,0.0018,19.0473,39.1306,39.1306,0.0287,-15.4960,0.0269
000000518189,229,0,30.8251,42.6388,17.5184,0.4909,30.4736,42.6388,17.5184,0.4909,15.8553,27.1119,2.0983,0.9898,-14.6183,0.4989
000000521427,23,1,24.1175,25.9386,23.6112,0.2746,26.3793,30.0192,28.5780,0.1506,18.0342,18.9165,18.4590,0.4539,-8.3451,0.3033
000000521427,88,0,31.1383,46.1334,16.0479,0.5504,31.1383,46.1334,16.0479,0.5504,16.6369,32.5493,0.7406,0.9987,-14.5015,0.4483
000000521427,164,3,29.5530,30.4225,28.1533,0.1592,28.4743,30.9502,28.1533,0.1592,21.8642,24.0582,22.4604,0.3105,-6.6101,0.1513
000000521427,80,1,43.9316,58.4080,55.8616,0.0007,43.3628,55.8616,55.8616,0.0007,26.7125,29.4155,25.8605,0.2122,-16.6503,0.2114
000000521427,89,1,28.5717,37.6801,37.1147,0.0410,27.8861,37.6801,37.1147,0.0410,13.9343,21.5437,21.1285,0.3553,-13.9518,0.3142
000000546890,117,0,73.2591,111.8395,42.0938,0.0164,73.0024,110.8542,42.0522,0.0166,41.7212,77.4261,4.3726,0.9566,-31.2813,0.9401
000000546890,76,1,44.7416,54.5906,54.5906,0.0010,46.7372,54.5906,54.5906,0.0010,27.8795,28.6683,28.6683,0.1488,-18.8577,0.1478
000000546890,155,0,36.1783,49.0738,22.2582,0.3171,35.8764,47.8660,22.2582,0.3171,20.2163,31.3741,7.0537,0.8911,-15.6601,0.5740
000000546890,186,0,35.6228,52.3889,21.0847,0.3568,35.6228,52.3889,21.0847,0.3568,19.5534,36.0678,0.9096,0.9981,-16.0693,0.6413
000000572362,48,0,124.1019,180.6080,74.0296,0.0000,123.4475,180.6080,71.4121,0.0000,65.5186,126.0832,0.3885,0.9997,-57.9289,0.9996
000000572362,232,2,20.6325,27.9864,26.3139,0.2008,20.6325,27.9864,26.3139,0.2008,10.3008,19.4998,18.7927,0.4410,-10.3316,0.2401
000000572362,160,2,48.1654,76.2939,76.2939,0.0000,49.0003,76.2939,76.2939,0.0000,30.3479,60.5634,60.5634,0.0002,-18.6524,0.0002
000000572362,188,2,43.9128,66.4189,66.4189,0.0000,43.9128,66.4189,66.4189,0.0000,25.6047,52.1465,52.1465,0.0018,-18.3082,0.0018
000000572362,32,1,8.9641,15.8843,15.8843,0.5572,8.9641,15.8843,15.8843,0.5572,6.2799,10.8558,10.8558,0.7609,-2.6842,0.2038
